Name;City;Country;Address;Geonames ID;Geonames Coordinates;histomap; Institution;Source;Other;
Klal-Verlag;Berlin-Charlottenburg;Deutschland;Kantstr. 6;;;52.505641728307715, 13.331218694434483;Verlag;Jüdische Bücher aus Berlin;;
Kleinmann, M.;Leipzig;Deutschland;Kuchengartenstr. 4;;;;Druckerei;Jüdische Bücher aus Berlin;;
Kleinmann, M.;Leipzig;Deutschland;Reichsstr. 29-31;;;;Druckerei;Jüdische Bücher aus Berlin;;
Buchverlag Kniga GmbH;Berlin W62;Deutschland;Kurfürstenstr. 79;;;52.50419662701632, 13.346912785121154;Verlag;Jüdische Bücher aus Berlin;;
Verlag J. Kornfeld;Berlin N24;Deutschland;Elsässerstr. 64;;;;Verlag;Jüdische Bücher aus Berlin;;
Krimberg, Motel;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
Lewent'sche Buchdruckerei GmbH;Berlin-Schöneberg;Deutschland;Hauptstr. 37;;;52.484589549690554, 13.352484803655326;Druckerei;Jüdische Bücher aus Berlin;;
Lidor, Moschek;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
Loewenthal. Alwin;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
Lutze & Vogt;Berlin SW68;Deutschland;Friedrichstr. 16;;;52.50233419023152, 13.391735907026208;Druckerei;Jüdische Bücher aus Berlin;;
Marx & Co.;Berlin-Wilmersdorf;Deutschland;Helmstedter Str. 11;;;52.48942333745418, 13.334811572987197;Druckerei, Verlag;Jüdische Bücher aus Berlin;;
Marx & Co.;Berlin SW68;Deutschland;Zimmerstr. 95/96;;;52.50768693222516, 13.386888032277447;Druckerei, Verlag;Jüdische Bücher aus Berlin;;
Buchhandlung Rubin Mass;Berlin-Charlottenburg;Deutschland;Kantstr. 46;;;52.506656517665604, 13.311956523952638;Buchhandlung, Verlag;Jüdische Bücher aus Berlin;;
Buchhandlung Rubin Mass;Berlin-Charlottenburg;Deutschland;Pestalozzistr. 15;;;52.508059472462286, 13.315887028811176;Buchhandlung, Verlag;Jüdische Bücher aus Berlin;;
Melnik, Alexander;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
Menes-Verlag GmbH;Leipzig;Deutschland;Dittrischring 1;;;;Verlag;Jüdische Bücher aus Berlin;;
Moriah;Berlin W;Deutschland;Lietzenburger Str. 8a;;;52.5007047166621, 13.345085850329653;Verlag;Jüdische Bücher aus Berlin;;
Mutnik, Abraham;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
