ID	creator	title	title-alt-script	publisher	to split 1	clusteredPlaces	clusteredPublisher	date	language	imagecount
nybc211547	Ṿerṭheymer, Meṭa	Mayn rayze ḳeyn Medines̀ Yiśraʼel	מיין רייזע קיין מדינת ישראל	[Philadelphia? : Refua Vechaim Society?]	[Philadelphia? 	Philadelphia	Refua Vechaim Society?	1956	yid	208
nybc211548	Rolniḳayṭe, M. (Mashe)	Ikh muz dertseyln	איך מוז דערציילן	"Mosḳṿe : Farlag ""Soṿeṭsḳi pisaṭel"""	Mosḳṿe 	Moskva	"Farlag ""Soṿeṭsḳi pisaṭel"""	1988	yid	250
nybc211549	Leṿin, Yehudah Leyb, d. 1978	Der zeḳs ṭogiḳer ṿunder ḳrig	דער זעקס טאגיקער וואונדער קריג	Yerushalayim : Merkaz le-hasbarah datit be-Yiśraʼel	Yerushalayim 	Jerusalem	Merkaz le-hasbarah datit be-Yiśraʼel	1967	yid	162
nybc211550	Krantz, Ph. (Philip), 1858-1922	Di familye Rohṭhshild zeyer leben un finantsyele ṭheṭigḳayṭ	דיא פאמיליע ראהטשילד : זייער לעבען און פינאנציעלע טהעטיגקייט	Nyu Yorḳ : Star Hebrew Book Co.	Nyu Yorḳ 	New York, N.Y.	Star Hebrew Book Co.	1907	yid	66
nybc211551	Rives, Iakov Iudovich	Der ṿeg tsum zig roman	דער וועג צום זיג : ראמאן	Mosḳṿe : Soṿeṭsḳi Pisaṭel	Mosḳṿe 	Moskva	Soṿeṭsḳi pisaṭel	1975	yid	186
nybc211552	Feigenbaum, Benjamin	Di religyon un di arbeyṭer	דיא רעליגיאן און דיא ארבייטער	Nyu Yorḳ			Nyu Yorḳ	[1914?]	yid	134
nybc211553	Sfard, David	Lider	לידער	Ṿarshe : Farlag Yidish Bukh	Ṿarshe 	Warsaw	Farlag Yidish bukh	1957	yid	150
nybc211554	Chernichovsky, Isaiah	Lekoved yonṭev gedanḳen un oysṭayṭshungen fun ale yomim ṭoyvim fun yor	לכבוד יום טוב : געדאנקען און אויסטייטשונגען פון אלע ימים טובים פון יאר	Tel-Aviv : ha-Menorah	Tel-Aviv 	Tel-Aviv	ha-Menorah	1966	yid	122
nybc211555	Tolstoy, Leo, graf, 1828-1910	Anna Ḳarenina a realisṭishe shilderung iber liebe, laydenshafṭ, eyferzukhṭ und zelbsṭmard	אננא קארענינא : א רעאליסטישע שילדערונג איבער ליעבע, ליידענשאפט, אייפערזוכט אונד זעלסטמארד	Nyu Yorḳ : Hibru Poblishing Ḳompani	Nyu Yorḳ 	New York, N.Y.	Hibru poblishing ḳompani	[190-?]	yid	194
nybc211556	Gumener, Elijah, 1886-	A ḳapiṭl Uḳrayne tsṿey yor in Podolye	א קאפיטל אוקראינע : 2 יאר אין פאדאליע	Ṿilne : Sh. Shreberḳ	Ṿilne 	Ṿilne	Sh. Shreberḳ	1921	yid	178
nybc211559	Weinreich, Max, 1894-1969	Oysgeḳlibene shrifṭn	אויסגקעליבענע שריפטן	Buenos Ayres : Yosef Lifshits-fond fun der liṭeraṭur-gezelshafṭ baym Yiṿo	Buenos Ayres 	Buenos Ayres	Yosef Lifshits-fond fun der liṭeraṭur-gezelshafṭ baym Yiṿo	1974	yid	424
nybc211560	Kulbak, Moshe, 1896-1940	Oysgeḳlibene shrifṭn	אויסגעקליבענע שריפטן	Buenos Ayres : Yosef Lifshits-fond fun der Liṭeraṭur-gezelshafṭ baym Yiṿo in Argenṭine	Buenos Ayres 	Buenos Ayres	Yosef Lifshits-fond fun der Liṭeraṭur-gezelshafṭ baym Yiṿo in Argenṭine	1976	yid	326
nybc211562	Ostrovsky, B	Idish	אידיש	Folḳs-shul			Folḳs-shul	c1925	yid	202
nybc211563	Sienkiewicz, Henryk, 1846-1916	Iber midboryes̀ un ṿisṭenishn roman far yugnṭ	איבער מדבריות און וויסטענישן : ראמאן פאר יוגענד	Ṿilne : B. Ḳletsḳin	Ṿilne 	Ṿilne	B. Ḳletsḳin	1928	yid	458
nybc211564	Liptsin, Sem, 1893-	Ḳṿeḳzilber's penshṭifereyen	קוועקזילבער'ס פענשטיפערייען	Nyu Yorḳ : Amkho	Nyu Yorḳ 	New York, N.Y.	Amkho	1944	yid	70
nybc211566	Lazarov, Y. L. (Yehudah Leyb), d.1939	Sefer Gan Yehudah	ספר גן יהודה	Bruḳlin : Gedruḳṭ bay di Moynsṭer pob. ḳo.	Bruḳlin 	Brooklyn, New York	Gedruḳṭ bay di Moynsṭer pob. ḳo.	1935	yid	122
