Name;City;Country;Address;Geonames ID;Geonames Coordinates;histomap; Institution;Source;Other;Spalte1
Maisel, Max; New York; U.S.A.; 424 Grand Str.;5128581;40.71427, -74.00597;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Malerman’s Literary Publishing Co.; Philadelphia Pa.; U.S.A.; 504 Pine Street;4560349;39.95238, -75.16362;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Marcus, S.; Harburg a.d.E.; Deutschland; Bremer Straße 58;2910685;53.46057, 9.98388;; Buchhandlung, Verlag;Adressbuch jüdischer Buchhandel; Postscheckamt: Hamburg 13377;
Margulies; Lwow; Klein-Polen; Kazimierzowska 35;702550;49.83826, 24.02324;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Mase, N.; Wilna; Polen; Rudnicka 23;593116;54.68916, 25.2798;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Mazin, R. & Co.; London E1; England; 139/141 Whitechapel Road;2643743;51.50853, -0.12574;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Mendel, Friedmann; Wien II; Oesterreich; Schöngasse 16;2761369;48.20849, 16.37208;; Verlag althebräischer Bücher;Adressbuch jüdischer Buchhandel;;
Menorah G.m.b.H.; Berlin W62; Deutschland; Maaßenstraße 37;2950159;52.52437, 13.41053;52.50365801821957, 13.353175461725863; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel; Telegr.-Adr.: Menorahhücher. Postscheckamt: Berlin 74392. Bankverbindung: Darmstädter u. Natioralbank;
Menorah; Wien II; Oesterreich; Heinestraße 16;2761369;48.20849, 16.37208;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel; Bankverb.: Anglo-Austria-Bank. Postscheckamt: Wien 139821;
Mikra, Biblische Verlagsgesellschaft m.b.H.; Berlin-Charlottenburg; Deutschland; Bismarckstr. 106;2940187;52.51667, 13.28333;52.51194311124399, 13.315877643849923;;Adressbuch jüdischer Buchhandel; Postscheckkonto: Berlin 53 109. Bank: Nordische Bank für Handel und Industrie. Berlin W 56. Jägerstr. 55 ;
Milgroim & Flom; Balti; Beßarabien, Rumänien;;618605;47.76314, 27.92932;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Miller, L.; Grodno; Polen; Mieszczanska 1;627904;53.6884, 23.8258;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Misrach; Berlin N 24; Deutschland; Artilleriestr. 6;2950159;52.52437, 13.41053;52.52696597157444, 13.393101503643575; Buchhandlung, Zeitungsvertrieb;Adressbuch jüdischer Buchhandel;;
Modern Book Store; Boston Mass.; U.S.A.; 32 Leverett Str.;4930956;42.35843, -71.05977;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Morgenland-Verlag; Berlin-Friedenau; Deutschland; Laubacher Straße 16;2924770;52.47133, 13.32813;52.473275491292156, 13.320729264011698;;Adressbuch jüdischer Buchhandel; Tel.: Rheingau 97;
Moria; Chisinau; Rumänien, Beßarabien; Str. Nicolae 70;618426;47.00556, 28.8575;; Buchhandlung;Adressbuch jüdischer Buchhandel; Telegr.-Adr.: Moriah Chisinau;
Moriah; Mariampol; Litauen;;597231;54.55991, 23.35412;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Moriah; Tel-Awiw; Palästina;" s. ""Dvir""";293397;32.08088, 34.78057;; Verlag;Adressbuch jüdischer Buchhandel;;
Moszewitzki, E.; Wilna; Polen; Zawalna 35;593116;54.68916, 25.2798;; Buchhandlung für hebräische Bücher;Adressbuch jüdischer Buchhandel;;
Motilew & Falkowitz; Haifa; Palästina; Allenby Street;294801;32.81841, 34.9885;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Mult es Jövö; Budapest VI; Ungarn; Podmaniezky utea 0;3054643;47.49835, 19.04045;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel; Bankverbindung.: Ungar.-Brit. Bank. Postscheckkonto: 29811 ;
Münzer, Samuel; Lwow; Klein-Polen; Stanislawa 6;702550;49.83826, 24.02324;;  Buchhandlung;Adressbuch jüdischer Buchhandel; Postscheckamt: Warschau 148803;
Necach; Lodz; Polen; Kielma 42;3093133;51.77058, 19.47395;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Nehemia Publishing Co.; New York; U.S.A.; 122 Fifth Ave.;5128581;40.71427, -74.00597;; Verlag;Adressbuch jüdischer Buchhandel;;
Neugeboren, Oslas; Tarnopol; Klein-Polen; Plac Kaczimierzawski 17;691650;49.55404, 25.59067;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Neumann, Beno; Budapest; Ungarn; Kiraly-u. 8;3054643;47.49835, 19.04045;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Neumann, S; Frankfurt a.M.; Deutschland; Steingasse 14;2925533;50.11552, 8.68417;; Buchhandlung;Adressbuch jüdischer Buchhandel; Tel.: Römer 3777;
Nir; Warschau; Polen; Nowolipkt 32;756135;52.22977, 21.01178;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Nova kniizara d. d.; Zagreb; Jugoslawien; Ilica 92;3186886;45.81444, 15.97798;; Buchhandlung;Adressbuch jüdischer Buchhandel; Postscheckkonto: 33805;
Omonath-Verlag; Tel-Awiw; Palästina; Rothschild-Allee 1;293397;32.08088, 34.78057;; Verlag hebräischer Bücher;Adressbuch jüdischer Buchhandel;;
Ophir; Berlin W30; Deutschland; Bamberger Str. 5;2950159;52.52437, 13.41053;52.496587962063444, 13.337273845610575; Verlag hebräischer Bücher;Adressbuch jüdischer Buchhandel;;
Oppenheimer, S.; Mannheim; Deutschland; F. 3, 15-16;2873891;49.4891, 8.46694;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Ost und West; Berlin-Charlottenburg; Deutschland; Knesebeckstraße 37;2940187;52.51667, 13.28333;52.50245778470756, 13.321676803107424; Verlag;Adressbuch jüdischer Buchhandel;;
Ostdeutsche Buchhandlung; Königsberg i.Pr.; Deutschland; Neue Dammgasse 34;554234;54.70649, 20.51095;; Buchhandlung;Adressbuch jüdischer Buchhandel; Telegr.-Adr.: Kaplan. Bank d. ostpr. Landsch. Postscheckamt: Königsberg 10846;
Ostertag, Ferdinand; Berlin W62; Deutschland; Kleiststr. 20;2950159;52.52437, 13.41053;52.501755402124765, 13.34479431940078; Buchhandlung u. Verlag;Adressbuch jüdischer Buchhandel; Bankverb.: Commerz- u. Privatbank. Dep.-Kasse M., Tauentzienstraße 18a;
Palestynskie Towarzystwo Emigracyjne; Luck; Polen;;702569;50.75932, 25.34244;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Parnaß, G.; Brooklyn New York; U.S.A.; 208 So. 9th Str.;5110302;40.6501, -73.94958;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Peretz, Isaak; Sofia; Bulgarien; Nischka 30;727011;42.69751, 23.32415;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Perles, Moritz; Wien I; Oesterreich; Seilergasse 4;2761369;48.20849, 16.37208;; Verlagsbuchhandlung;Adressbuch jüdischer Buchhandel;;
Perlstein, M.; New York; U.S.A.; 202 E. Broadway;5128581;40.71427, -74.00597;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Philo-Verlag; Berlin SW68; Deutschland; Lindenstraße 13;2950159;52.52437, 13.41053;52.49993505051486, 13.393269845704593; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel; Postscheckkonto: 83512. Bank: Dresdner Bank;
Poppelauer, M.; Berlin C2; Deutschland; Neue Friedrichstraße 59;2950159;52.52437, 13.41053;52.521534188784806, 13.403755239367724; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel; Postscheckkonto: 3500. Bank: Gebr. Merzbach;
Poritzky, S.; Karlsruhe i. B; Deutschland; Waldhornstraße 62;2892794;49.00937, 8.40444;; Buchhandlung;Adressbuch jüdischer Buchhandel; Postscheckkonto: 3302;
Progreß; Buenos Aires; Argentinien; 467 Besniek;3435910;-34.61315, -58.37723;;;Adressbuch jüdischer Buchhandel; Inh.: G. Kaplansky;
Ptaschek, A; Kowno; Litauen; Prezidento g-ve 6;598316;54.90272, 23.90961;; Verlagsbuchhandlung;Adressbuch jüdischer Buchhandel;;
Pundik, M.; Siemiatycze Ziemia Grodzienska; Polen; Pl. Pilsudskiego 5;759320;52.42719, 22.86231;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
"Rabinovitsch, M., ""Darom"" Book Store"; Jerusalem; Palästina; Ben-Jehuda Street;281184;31.76904, 35.21633;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Rabinowitz, A. S.; Tel-Awiw; Palästina; Achad-Haam Street;293397;32.08088, 34.78057;; Buchhandlung, Verlag;Adressbuch jüdischer Buchhandel;;
Rabinowitz, J.; Karlsruhe i. B; Deutschland; Karl-Friedrich-Straße 16;2892794;49.00937, 8.40444;;;Adressbuch jüdischer Buchhandel;;
"Rabinowitz, Salomon, ""Tarbuth” Book Store"; New York; U.S.A.; 42-44 Canal Street;5128581;40.71427, -74.00597;; Buchhandlung;Adressbuch jüdischer Buchhandel;" Vertreter des Verlages ""Jalkut”, Berlin";
Raccah, Jacob di v.; Tripoli d’Africa; Afrika; Via Sla Kebira N 53;2210247;32.88743, 13.18733;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Rasskin, A.; Warschau; Polen; Dzikastr. 5;756135;52.22977, 21.01178;; Buchhandlung;Adressbuch jüdischer Buchhandel; Postscheckamt: Warschau 290 u. Leiprir 83268. Bank: Jenich Colonial Trust, London E.C.4;
Rath, M., Bücherstube; Wien II; Oesterreich; Taborstr. 20a;2761369;48.20849, 16.37208;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Rawer, J.; Frankfurt a.M.; Deutschland; Battonnstraße 9;2925533;50.11552, 8.68417;; Buchhandlung;Adressbuch jüdischer Buchhandel; Bank: Deutsche Bank. Postscheckamt 48339;
